
block_size	sweeps	final_cost	runtime_sec	selected_count
0	8	2	23.373843	0.019973	9
1	8	4	22.932185	0.034097	9
2	8	6	22.610656	0.026391	9
3	8	8	24.069799	0.021344	9
4	8	10	24.124454	0.019542	9
5	12	2	23.460610	0.087815	9
6	12	4	22.163978	0.268662	9
7	12	6	23.045498	0.399761	9
8	12	8	22.495030	0.177587	9
9	12	10	23.047242	0.260283	9
10	16	2	23.160972	1.771296	9
11	16	4	23.218046	2.568749	9
12	16	6	22.583676	2.635998	9
13	16	8	23.276801	1.772316	9
14	16	10	22.343761	1.798948	9
15	20	2	23.182468	35.680721	9
16	20	4	22.172578	35.454053	9
17	20	6	22.245257	53.249007	9
18	20	8	22.172988	53.213303	9
19	20	10	22.372439	52.791797	9

